agency_id,agency_name,district_id,state_id,agency_type
AGENCY-0983,BIH-District-36 - Water Supply & Sewerage Board,DIST-0147,ST-03,Public Works Department (PWD)
AGENCY-0984,MAD-District-08 - Public Works Department (PWD),DIST-0180,ST-05,Water Supply & Sewerage Board
AGENCY-0985,UTT-District-28 - Panchayati Raj Institution (PRI),DIST-0028,ST-01,Public Works Department (PWD)
AGENCY-0986,BIH-District-21 - Municipal Corporation (MC),DIST-0132,ST-03,Water Supply & Sewerage Board
AGENCY-0987,UTT-District-11 - Public Works Department (PWD),DIST-0011,ST-01,Rural Development Department (RDD)
AGENCY-0988,CHH-District-21 - Public Works Department (PWD),DIST-0585,ST-17,Public Works Department (PWD)
AGENCY-0989,TAM-District-23 - Rural Development Department (RDD),DIST-0250,ST-06,Public Works Department (PWD)
AGENCY-0990,KAR-District-20 - Municipal Corporation (MC),DIST-0335,ST-08,Public Works Department (PWD)
AGENCY-0991,ODI-District-22 - Public Works Department (PWD),DIST-0427,ST-11,Municipal Corporation (MC)
AGENCY-0992,WES-District-12 - Rural Development Department (RDD),DIST-0161,ST-04,Public Works Department (PWD)
AGENCY-0993,ASS-District-32 - Panchayati Raj Institution (PRI),DIST-0538,ST-15,Municipal Corporation (MC)
AGENCY-0994,BIH-District-16 - Public Works Department (PWD),DIST-0127,ST-03,Public Works Department (PWD)
AGENCY-0995,RAJ-District-08 - Rural Development Department (RDD),DIST-0273,ST-07,Municipal Corporation (MC)
AGENCY-0996,JHA-District-07 - Rural Development Department (RDD),DIST-0489,ST-14,Panchayati Raj Institution (PRI)
AGENCY-0997,TAM-District-10 - Municipal Corporation (MC),DIST-0237,ST-06,Municipal Corporation (MC)
AGENCY-0998,AND-District-25 - Public Works Department (PWD),DIST-0404,ST-10,Rural Development Department (RDD)
AGENCY-0999,HAR-District-02 - Rural Development Department (RDD),DIST-0599,ST-18,Public Works Department (PWD)
AGENCY-1000,BIH-District-13 - Public Works Department (PWD),DIST-0124,ST-03,Municipal Corporation (MC)
AGENCY-1001,UTT-District-04 - Panchayati Raj Institution (PRI),DIST-0004,ST-01,Rural Development Department (RDD)
AGENCY-1002,UTT-District-59 - Water Supply & Sewerage Board,DIST-0059,ST-01,Municipal Corporation (MC)
AGENCY-1003,ASS-District-02 - Water Supply & Sewerage Board,DIST-0508,ST-15,Water Supply & Sewerage Board
AGENCY-1004,ODI-District-29 - Panchayati Raj Institution (PRI),DIST-0434,ST-11,Municipal Corporation (MC)
AGENCY-1005,RAJ-District-13 - Public Works Department (PWD),DIST-0278,ST-07,Rural Development Department (RDD)
AGENCY-1006,RAJ-District-25 - Public Works Department (PWD),DIST-0290,ST-07,Water Supply & Sewerage Board
AGENCY-1007,PUN-District-22 - Panchayati Raj Institution (PRI),DIST-0563,ST-16,Panchayati Raj Institution (PRI)
AGENCY-1008,ASS-District-15 - Panchayati Raj Institution (PRI),DIST-0521,ST-15,Municipal Corporation (MC)
AGENCY-1009,KAR-District-04 - Rural Development Department (RDD),DIST-0319,ST-08,Municipal Corporation (MC)
AGENCY-1010,BIH-District-09 - Rural Development Department (RDD),DIST-0120,ST-03,Municipal Corporation (MC)
AGENCY-1011,TEL-District-05 - Water Supply & Sewerage Board,DIST-0440,ST-12,Municipal Corporation (MC)
AGENCY-1012,UTT-District-16 - Water Supply & Sewerage Board,DIST-0016,ST-01,Panchayati Raj Institution (PRI)
AGENCY-1013,UTT-District-06 - Panchayati Raj Institution (PRI),DIST-0006,ST-01,Public Works Department (PWD)
AGENCY-1014,TAM-District-31 - Panchayati Raj Institution (PRI),DIST-0258,ST-06,Public Works Department (PWD)
AGENCY-1015,ASS-District-21 - Panchayati Raj Institution (PRI),DIST-0527,ST-15,Water Supply & Sewerage Board
AGENCY-1016,RAJ-District-23 - Panchayati Raj Institution (PRI),DIST-0288,ST-07,Water Supply & Sewerage Board
AGENCY-1017,BIH-District-21 - Water Supply & Sewerage Board,DIST-0132,ST-03,Public Works Department (PWD)
AGENCY-1018,HAR-District-20 - Municipal Corporation (MC),DIST-0617,ST-18,Panchayati Raj Institution (PRI)
AGENCY-1019,BIH-District-20 - Panchayati Raj Institution (PRI),DIST-0131,ST-03,Panchayati Raj Institution (PRI)
AGENCY-1020,HAR-District-12 - Water Supply & Sewerage Board,DIST-0609,ST-18,Panchayati Raj Institution (PRI)
AGENCY-1021,TAM-District-15 - Rural Development Department (RDD),DIST-0242,ST-06,Rural Development Department (RDD)
AGENCY-1022,UTT-District-09 - Public Works Department (PWD),DIST-0009,ST-01,Municipal Corporation (MC)
AGENCY-1023,WES-District-09 - Panchayati Raj Institution (PRI),DIST-0158,ST-04,Municipal Corporation (MC)
AGENCY-1024,GUJ-District-31 - Rural Development Department (RDD),DIST-0377,ST-09,Municipal Corporation (MC)
AGENCY-1025,MAH-District-23 - Panchayati Raj Institution (PRI),DIST-0098,ST-02,Public Works Department (PWD)
AGENCY-1026,KAR-District-15 - Public Works Department (PWD),DIST-0330,ST-08,Water Supply & Sewerage Board
AGENCY-1027,ODI-District-04 - Rural Development Department (RDD),DIST-0409,ST-11,Municipal Corporation (MC)
AGENCY-1028,MAD-District-45 - Panchayati Raj Institution (PRI),DIST-0217,ST-05,Public Works Department (PWD)
AGENCY-1029,RAJ-District-45 - Public Works Department (PWD),DIST-0310,ST-07,Public Works Department (PWD)
AGENCY-1030,GUJ-District-16 - Panchayati Raj Institution (PRI),DIST-0362,ST-09,Rural Development Department (RDD)
AGENCY-1031,UTT-District-38 - Panchayati Raj Institution (PRI),DIST-0038,ST-01,Water Supply & Sewerage Board
AGENCY-1032,TEL-District-04 - Public Works Department (PWD),DIST-0439,ST-12,Water Supply & Sewerage Board
AGENCY-1033,TAM-District-36 - Panchayati Raj Institution (PRI),DIST-0263,ST-06,Public Works Department (PWD)
AGENCY-1034,MAD-District-20 - Municipal Corporation (MC),DIST-0192,ST-05,Rural Development Department (RDD)
AGENCY-1035,MAH-District-28 - Public Works Department (PWD),DIST-0103,ST-02,Water Supply & Sewerage Board
AGENCY-1036,JHA-District-22 - Public Works Department (PWD),DIST-0504,ST-14,Water Supply & Sewerage Board
AGENCY-1037,ASS-District-03 - Rural Development Department (RDD),DIST-0509,ST-15,Municipal Corporation (MC)
AGENCY-1038,WES-District-11 - Rural Development Department (RDD),DIST-0160,ST-04,Municipal Corporation (MC)
AGENCY-1039,BIH-District-15 - Rural Development Department (RDD),DIST-0126,ST-03,Rural Development Department (RDD)
AGENCY-1040,MAH-District-19 - Water Supply & Sewerage Board,DIST-0094,ST-02,Municipal Corporation (MC)
AGENCY-1041,ASS-District-28 - Panchayati Raj Institution (PRI),DIST-0534,ST-15,Public Works Department (PWD)
AGENCY-1042,MAD-District-02 - Rural Development Department (RDD),DIST-0174,ST-05,Water Supply & Sewerage Board
AGENCY-1043,BIH-District-37 - Municipal Corporation (MC),DIST-0148,ST-03,Public Works Department (PWD)
AGENCY-1044,CHH-District-28 - Municipal Corporation (MC),DIST-0592,ST-17,Panchayati Raj Institution (PRI)
AGENCY-1045,MAD-District-43 - Rural Development Department (RDD),DIST-0215,ST-05,Rural Development Department (RDD)
AGENCY-1046,GUJ-District-26 - Water Supply & Sewerage Board,DIST-0372,ST-09,Rural Development Department (RDD)
AGENCY-1047,TEL-District-29 - Panchayati Raj Institution (PRI),DIST-0464,ST-12,Municipal Corporation (MC)
AGENCY-1048,KER-District-09 - Public Works Department (PWD),DIST-0477,ST-13,Public Works Department (PWD)
AGENCY-1049,CHH-District-03 - Public Works Department (PWD),DIST-0567,ST-17,Panchayati Raj Institution (PRI)
AGENCY-1050,TEL-District-32 - Panchayati Raj Institution (PRI),DIST-0467,ST-12,Public Works Department (PWD)
AGENCY-1051,UTT-District-07 - Municipal Corporation (MC),DIST-0007,ST-01,Water Supply & Sewerage Board
AGENCY-1052,MAD-District-41 - Panchayati Raj Institution (PRI),DIST-0213,ST-05,Water Supply & Sewerage Board
AGENCY-1053,ASS-District-05 - Panchayati Raj Institution (PRI),DIST-0511,ST-15,Municipal Corporation (MC)
AGENCY-1054,CHH-District-32 - Municipal Corporation (MC),DIST-0596,ST-17,Panchayati Raj Institution (PRI)
AGENCY-1055,ODI-District-24 - Rural Development Department (RDD),DIST-0429,ST-11,Water Supply & Sewerage Board
AGENCY-1056,UTT-District-58 - Rural Development Department (RDD),DIST-0058,ST-01,Rural Development Department (RDD)
AGENCY-1057,BIH-District-15 - Panchayati Raj Institution (PRI),DIST-0126,ST-03,Municipal Corporation (MC)
AGENCY-1058,PUN-District-11 - Panchayati Raj Institution (PRI),DIST-0552,ST-16,Municipal Corporation (MC)
AGENCY-1059,GUJ-District-25 - Public Works Department (PWD),DIST-0371,ST-09,Municipal Corporation (MC)
AGENCY-1060,UTT-District-15 - Panchayati Raj Institution (PRI),DIST-0015,ST-01,Water Supply & Sewerage Board
AGENCY-1061,JHA-District-06 - Panchayati Raj Institution (PRI),DIST-0488,ST-14,Rural Development Department (RDD)
AGENCY-1062,ASS-District-13 - Water Supply & Sewerage Board,DIST-0519,ST-15,Rural Development Department (RDD)
AGENCY-1063,UTT-District-67 - Panchayati Raj Institution (PRI),DIST-0067,ST-01,Municipal Corporation (MC)
AGENCY-1064,CHH-District-15 - Water Supply & Sewerage Board,DIST-0579,ST-17,Rural Development Department (RDD)
AGENCY-1065,WES-District-08 - Water Supply & Sewerage Board,DIST-0157,ST-04,Rural Development Department (RDD)
AGENCY-1066,RAJ-District-19 - Rural Development Department (RDD),DIST-0284,ST-07,Rural Development Department (RDD)
AGENCY-1067,GUJ-District-04 - Rural Development Department (RDD),DIST-0350,ST-09,Panchayati Raj Institution (PRI)
AGENCY-1068,MAD-District-47 - Public Works Department (PWD),DIST-0219,ST-05,Municipal Corporation (MC)
AGENCY-1069,PUN-District-11 - Panchayati Raj Institution (PRI),DIST-0552,ST-16,Rural Development Department (RDD)
AGENCY-1070,AND-District-20 - Panchayati Raj Institution (PRI),DIST-0399,ST-10,Panchayati Raj Institution (PRI)
AGENCY-1071,GUJ-District-23 - Municipal Corporation (MC),DIST-0369,ST-09,Public Works Department (PWD)
AGENCY-1072,UTT-District-62 - Public Works Department (PWD),DIST-0062,ST-01,Public Works Department (PWD)
AGENCY-1073,HAR-District-05 - Municipal Corporation (MC),DIST-0602,ST-18,Municipal Corporation (MC)
AGENCY-1074,ODI-District-28 - Public Works Department (PWD),DIST-0433,ST-11,Rural Development Department (RDD)
AGENCY-1075,JHA-District-10 - Panchayati Raj Institution (PRI),DIST-0492,ST-14,Panchayati Raj Institution (PRI)
AGENCY-1076,TEL-District-30 - Public Works Department (PWD),DIST-0465,ST-12,Municipal Corporation (MC)
AGENCY-1077,ODI-District-17 - Panchayati Raj Institution (PRI),DIST-0422,ST-11,Panchayati Raj Institution (PRI)
AGENCY-1078,UTT-District-46 - Rural Development Department (RDD),DIST-0046,ST-01,Rural Development Department (RDD)
AGENCY-1079,PUN-District-03 - Public Works Department (PWD),DIST-0544,ST-16,Rural Development Department (RDD)
AGENCY-1080,MAH-District-07 - Rural Development Department (RDD),DIST-0082,ST-02,Public Works Department (PWD)
AGENCY-1081,WES-District-20 - Municipal Corporation (MC),DIST-0169,ST-04,Municipal Corporation (MC)
AGENCY-1082,TAM-District-08 - Municipal Corporation (MC),DIST-0235,ST-06,Municipal Corporation (MC)
AGENCY-1083,PUN-District-19 - Water Supply & Sewerage Board,DIST-0560,ST-16,Rural Development Department (RDD)
AGENCY-1084,GUJ-District-19 - Municipal Corporation (MC),DIST-0365,ST-09,Rural Development Department (RDD)
AGENCY-1085,GUJ-District-09 - Panchayati Raj Institution (PRI),DIST-0355,ST-09,Rural Development Department (RDD)
AGENCY-1086,BIH-District-13 - Public Works Department (PWD),DIST-0124,ST-03,Municipal Corporation (MC)
AGENCY-1087,ASS-District-01 - Municipal Corporation (MC),DIST-0507,ST-15,Rural Development Department (RDD)
AGENCY-1088,UTT-District-12 - Municipal Corporation (MC),DIST-0012,ST-01,Public Works Department (PWD)
AGENCY-1089,KAR-District-25 - Water Supply & Sewerage Board,DIST-0340,ST-08,Public Works Department (PWD)
AGENCY-1090,GUJ-District-12 - Water Supply & Sewerage Board,DIST-0358,ST-09,Rural Development Department (RDD)
AGENCY-1091,JHA-District-23 - Water Supply & Sewerage Board,DIST-0505,ST-14,Panchayati Raj Institution (PRI)
AGENCY-1092,MAD-District-18 - Municipal Corporation (MC),DIST-0190,ST-05,Municipal Corporation (MC)
AGENCY-1093,RAJ-District-31 - Public Works Department (PWD),DIST-0296,ST-07,Municipal Corporation (MC)
AGENCY-1094,BIH-District-20 - Public Works Department (PWD),DIST-0131,ST-03,Public Works Department (PWD)
AGENCY-1095,RAJ-District-12 - Public Works Department (PWD),DIST-0277,ST-07,Rural Development Department (RDD)
AGENCY-1096,WES-District-01 - Panchayati Raj Institution (PRI),DIST-0150,ST-04,Municipal Corporation (MC)
AGENCY-1097,RAJ-District-14 - Panchayati Raj Institution (PRI),DIST-0279,ST-07,Public Works Department (PWD)
AGENCY-1098,UTT-District-70 - Water Supply & Sewerage Board,DIST-0070,ST-01,Municipal Corporation (MC)
AGENCY-1099,UTT-District-10 - Panchayati Raj Institution (PRI),DIST-0010,ST-01,Public Works Department (PWD)
AGENCY-1100,UTT-District-48 - Rural Development Department (RDD),DIST-0048,ST-01,Municipal Corporation (MC)
AGENCY-1101,AND-District-06 - Municipal Corporation (MC),DIST-0385,ST-10,Public Works Department (PWD)
AGENCY-1102,BIH-District-08 - Panchayati Raj Institution (PRI),DIST-0119,ST-03,Water Supply & Sewerage Board
AGENCY-1103,TEL-District-13 - Municipal Corporation (MC),DIST-0448,ST-12,Public Works Department (PWD)
AGENCY-1104,PUN-District-03 - Water Supply & Sewerage Board,DIST-0544,ST-16,Panchayati Raj Institution (PRI)
AGENCY-1105,MAD-District-37 - Municipal Corporation (MC),DIST-0209,ST-05,Municipal Corporation (MC)
AGENCY-1106,CHH-District-12 - Public Works Department (PWD),DIST-0576,ST-17,Panchayati Raj Institution (PRI)
AGENCY-1107,TEL-District-05 - Rural Development Department (RDD),DIST-0440,ST-12,Water Supply & Sewerage Board
AGENCY-1108,UTT-District-41 - Public Works Department (PWD),DIST-0041,ST-01,Municipal Corporation (MC)
AGENCY-1109,MAH-District-03 - Panchayati Raj Institution (PRI),DIST-0078,ST-02,Rural Development Department (RDD)
AGENCY-1110,ODI-District-21 - Public Works Department (PWD),DIST-0426,ST-11,Rural Development Department (RDD)
AGENCY-1111,HAR-District-14 - Rural Development Department (RDD),DIST-0611,ST-18,Panchayati Raj Institution (PRI)
AGENCY-1112,HAR-District-15 - Municipal Corporation (MC),DIST-0612,ST-18,Municipal Corporation (MC)
AGENCY-1113,CHH-District-30 - Municipal Corporation (MC),DIST-0594,ST-17,Water Supply & Sewerage Board
AGENCY-1114,RAJ-District-50 - Water Supply & Sewerage Board,DIST-0315,ST-07,Municipal Corporation (MC)
AGENCY-1115,MAD-District-39 - Panchayati Raj Institution (PRI),DIST-0211,ST-05,Rural Development Department (RDD)
AGENCY-1116,TAM-District-19 - Rural Development Department (RDD),DIST-0246,ST-06,Panchayati Raj Institution (PRI)
AGENCY-1117,MAD-District-43 - Municipal Corporation (MC),DIST-0215,ST-05,Rural Development Department (RDD)
AGENCY-1118,RAJ-District-39 - Public Works Department (PWD),DIST-0304,ST-07,Rural Development Department (RDD)
AGENCY-1119,MAD-District-49 - Water Supply & Sewerage Board,DIST-0221,ST-05,Panchayati Raj Institution (PRI)
AGENCY-1120,UTT-District-14 - Rural Development Department (RDD),DIST-0014,ST-01,Municipal Corporation (MC)
AGENCY-1121,MAH-District-28 - Public Works Department (PWD),DIST-0103,ST-02,Rural Development Department (RDD)
AGENCY-1122,MAD-District-49 - Panchayati Raj Institution (PRI),DIST-0221,ST-05,Public Works Department (PWD)
AGENCY-1123,TEL-District-12 - Rural Development Department (RDD),DIST-0447,ST-12,Municipal Corporation (MC)
AGENCY-1124,GUJ-District-04 - Rural Development Department (RDD),DIST-0350,ST-09,Panchayati Raj Institution (PRI)
AGENCY-1125,UTT-District-23 - Municipal Corporation (MC),DIST-0023,ST-01,Rural Development Department (RDD)
AGENCY-1126,TAM-District-11 - Public Works Department (PWD),DIST-0238,ST-06,Rural Development Department (RDD)
AGENCY-1127,TAM-District-18 - Rural Development Department (RDD),DIST-0245,ST-06,Water Supply & Sewerage Board
AGENCY-1128,MAD-District-02 - Public Works Department (PWD),DIST-0174,ST-05,Panchayati Raj Institution (PRI)
AGENCY-1129,MAD-District-26 - Panchayati Raj Institution (PRI),DIST-0198,ST-05,Municipal Corporation (MC)
AGENCY-1130,UTT-District-49 - Panchayati Raj Institution (PRI),DIST-0049,ST-01,Public Works Department (PWD)
AGENCY-1131,UTT-District-28 - Public Works Department (PWD),DIST-0028,ST-01,Public Works Department (PWD)
AGENCY-1132,MAD-District-45 - Water Supply & Sewerage Board,DIST-0217,ST-05,Water Supply & Sewerage Board
AGENCY-1133,UTT-District-64 - Water Supply & Sewerage Board,DIST-0064,ST-01,Municipal Corporation (MC)
AGENCY-1134,KAR-District-28 - Municipal Corporation (MC),DIST-0343,ST-08,Panchayati Raj Institution (PRI)
AGENCY-1135,WES-District-16 - Panchayati Raj Institution (PRI),DIST-0165,ST-04,Municipal Corporation (MC)
AGENCY-1136,ODI-District-18 - Public Works Department (PWD),DIST-0423,ST-11,Water Supply & Sewerage Board
AGENCY-1137,MAD-District-05 - Water Supply & Sewerage Board,DIST-0177,ST-05,Rural Development Department (RDD)
AGENCY-1138,UTT-District-40 - Water Supply & Sewerage Board,DIST-0040,ST-01,Panchayati Raj Institution (PRI)
AGENCY-1139,BIH-District-22 - Public Works Department (PWD),DIST-0133,ST-03,Public Works Department (PWD)
AGENCY-1140,MAH-District-31 - Water Supply & Sewerage Board,DIST-0106,ST-02,Public Works Department (PWD)
AGENCY-1141,MAH-District-26 - Water Supply & Sewerage Board,DIST-0101,ST-02,Water Supply & Sewerage Board
AGENCY-1142,BIH-District-19 - Municipal Corporation (MC),DIST-0130,ST-03,Panchayati Raj Institution (PRI)
AGENCY-1143,GUJ-District-12 - Rural Development Department (RDD),DIST-0358,ST-09,Municipal Corporation (MC)
AGENCY-1144,PUN-District-05 - Municipal Corporation (MC),DIST-0546,ST-16,Water Supply & Sewerage Board
AGENCY-1145,UTT-District-69 - Municipal Corporation (MC),DIST-0069,ST-01,Water Supply & Sewerage Board
AGENCY-1146,KAR-District-17 - Water Supply & Sewerage Board,DIST-0332,ST-08,Rural Development Department (RDD)
AGENCY-1147,PUN-District-14 - Water Supply & Sewerage Board,DIST-0555,ST-16,Municipal Corporation (MC)
AGENCY-1148,TEL-District-02 - Panchayati Raj Institution (PRI),DIST-0437,ST-12,Rural Development Department (RDD)
AGENCY-1149,KAR-District-17 - Water Supply & Sewerage Board,DIST-0332,ST-08,Public Works Department (PWD)
AGENCY-1150,BIH-District-16 - Panchayati Raj Institution (PRI),DIST-0127,ST-03,Rural Development Department (RDD)
AGENCY-1151,AND-District-08 - Rural Development Department (RDD),DIST-0387,ST-10,Municipal Corporation (MC)
AGENCY-1152,UTT-District-66 - Rural Development Department (RDD),DIST-0066,ST-01,Municipal Corporation (MC)
AGENCY-1153,RAJ-District-27 - Municipal Corporation (MC),DIST-0292,ST-07,Municipal Corporation (MC)
AGENCY-1154,MAD-District-32 - Panchayati Raj Institution (PRI),DIST-0204,ST-05,Water Supply & Sewerage Board
AGENCY-1155,CHH-District-32 - Public Works Department (PWD),DIST-0596,ST-17,Municipal Corporation (MC)
AGENCY-1156,RAJ-District-39 - Public Works Department (PWD),DIST-0304,ST-07,Municipal Corporation (MC)
AGENCY-1157,UTT-District-15 - Rural Development Department (RDD),DIST-0015,ST-01,Municipal Corporation (MC)
AGENCY-1158,JHA-District-22 - Panchayati Raj Institution (PRI),DIST-0504,ST-14,Water Supply & Sewerage Board
AGENCY-1159,ASS-District-14 - Panchayati Raj Institution (PRI),DIST-0520,ST-15,Public Works Department (PWD)
AGENCY-1160,ODI-District-04 - Public Works Department (PWD),DIST-0409,ST-11,Water Supply & Sewerage Board
AGENCY-1161,TAM-District-14 - Municipal Corporation (MC),DIST-0241,ST-06,Municipal Corporation (MC)
AGENCY-1162,RAJ-District-28 - Water Supply & Sewerage Board,DIST-0293,ST-07,Municipal Corporation (MC)
AGENCY-1163,PUN-District-06 - Public Works Department (PWD),DIST-0547,ST-16,Panchayati Raj Institution (PRI)
AGENCY-1164,CHH-District-26 - Water Supply & Sewerage Board,DIST-0590,ST-17,Panchayati Raj Institution (PRI)
AGENCY-1165,UTT-District-44 - Rural Development Department (RDD),DIST-0044,ST-01,Panchayati Raj Institution (PRI)
AGENCY-1166,AND-District-19 - Water Supply & Sewerage Board,DIST-0398,ST-10,Public Works Department (PWD)
AGENCY-1167,TAM-District-19 - Rural Development Department (RDD),DIST-0246,ST-06,Water Supply & Sewerage Board
AGENCY-1168,MAH-District-28 - Rural Development Department (RDD),DIST-0103,ST-02,Rural Development Department (RDD)
AGENCY-1169,UTT-District-66 - Municipal Corporation (MC),DIST-0066,ST-01,Panchayati Raj Institution (PRI)
AGENCY-1170,KAR-District-31 - Water Supply & Sewerage Board,DIST-0346,ST-08,Panchayati Raj Institution (PRI)
AGENCY-1171,MAD-District-21 - Rural Development Department (RDD),DIST-0193,ST-05,Water Supply & Sewerage Board
AGENCY-1172,KAR-District-13 - Public Works Department (PWD),DIST-0328,ST-08,Municipal Corporation (MC)
AGENCY-1173,TEL-District-27 - Rural Development Department (RDD),DIST-0462,ST-12,Panchayati Raj Institution (PRI)
AGENCY-1174,GUJ-District-03 - Public Works Department (PWD),DIST-0349,ST-09,Public Works Department (PWD)
AGENCY-1175,TEL-District-10 - Municipal Corporation (MC),DIST-0445,ST-12,Municipal Corporation (MC)
AGENCY-1176,TAM-District-07 - Panchayati Raj Institution (PRI),DIST-0234,ST-06,Water Supply & Sewerage Board
AGENCY-1177,BIH-District-29 - Municipal Corporation (MC),DIST-0140,ST-03,Public Works Department (PWD)
AGENCY-1178,UTT-District-41 - Water Supply & Sewerage Board,DIST-0041,ST-01,Public Works Department (PWD)
AGENCY-1179,ODI-District-01 - Panchayati Raj Institution (PRI),DIST-0406,ST-11,Water Supply & Sewerage Board
AGENCY-1180,KAR-District-24 - Municipal Corporation (MC),DIST-0339,ST-08,Water Supply & Sewerage Board
AGENCY-1181,ASS-District-08 - Municipal Corporation (MC),DIST-0514,ST-15,Public Works Department (PWD)
AGENCY-1182,MAH-District-30 - Panchayati Raj Institution (PRI),DIST-0105,ST-02,Municipal Corporation (MC)
AGENCY-1183,ODI-District-08 - Municipal Corporation (MC),DIST-0413,ST-11,Public Works Department (PWD)
AGENCY-1184,MAH-District-33 - Public Works Department (PWD),DIST-0108,ST-02,Panchayati Raj Institution (PRI)
AGENCY-1185,AND-District-14 - Public Works Department (PWD),DIST-0393,ST-10,Water Supply & Sewerage Board
AGENCY-1186,MAD-District-16 - Municipal Corporation (MC),DIST-0188,ST-05,Municipal Corporation (MC)
AGENCY-1187,UTT-District-23 - Water Supply & Sewerage Board,DIST-0023,ST-01,Water Supply & Sewerage Board
AGENCY-1188,CHH-District-30 - Public Works Department (PWD),DIST-0594,ST-17,Rural Development Department (RDD)
AGENCY-1189,BIH-District-33 - Panchayati Raj Institution (PRI),DIST-0144,ST-03,Water Supply & Sewerage Board
AGENCY-1190,KER-District-05 - Municipal Corporation (MC),DIST-0473,ST-13,Panchayati Raj Institution (PRI)
AGENCY-1191,CHH-District-16 - Water Supply & Sewerage Board,DIST-0580,ST-17,Water Supply & Sewerage Board
AGENCY-1192,JHA-District-23 - Municipal Corporation (MC),DIST-0505,ST-14,Public Works Department (PWD)
AGENCY-1193,MAD-District-05 - Municipal Corporation (MC),DIST-0177,ST-05,Rural Development Department (RDD)
AGENCY-1194,MAH-District-32 - Water Supply & Sewerage Board,DIST-0107,ST-02,Panchayati Raj Institution (PRI)
AGENCY-1195,ASS-District-27 - Rural Development Department (RDD),DIST-0533,ST-15,Rural Development Department (RDD)
AGENCY-1196,MAD-District-41 - Rural Development Department (RDD),DIST-0213,ST-05,Panchayati Raj Institution (PRI)
AGENCY-1197,MAD-District-13 - Water Supply & Sewerage Board,DIST-0185,ST-05,Rural Development Department (RDD)
AGENCY-1198,RAJ-District-09 - Water Supply & Sewerage Board,DIST-0274,ST-07,Panchayati Raj Institution (PRI)
AGENCY-1199,UTT-District-07 - Public Works Department (PWD),DIST-0007,ST-01,Panchayati Raj Institution (PRI)
AGENCY-1200,AND-District-23 - Water Supply & Sewerage Board,DIST-0402,ST-10,Public Works Department (PWD)
AGENCY-1201,KAR-District-21 - Rural Development Department (RDD),DIST-0336,ST-08,Panchayati Raj Institution (PRI)
AGENCY-1202,RAJ-District-09 - Rural Development Department (RDD),DIST-0274,ST-07,Public Works Department (PWD)
AGENCY-1203,UTT-District-46 - Panchayati Raj Institution (PRI),DIST-0046,ST-01,Rural Development Department (RDD)
AGENCY-1204,MAD-District-31 - Public Works Department (PWD),DIST-0203,ST-05,Public Works Department (PWD)
AGENCY-1205,MAH-District-04 - Rural Development Department (RDD),DIST-0079,ST-02,Public Works Department (PWD)
AGENCY-1206,BIH-District-33 - Rural Development Department (RDD),DIST-0144,ST-03,Rural Development Department (RDD)
AGENCY-1207,UTT-District-07 - Public Works Department (PWD),DIST-0007,ST-01,Water Supply & Sewerage Board
AGENCY-1208,ODI-District-09 - Public Works Department (PWD),DIST-0414,ST-11,Rural Development Department (RDD)
AGENCY-1209,TAM-District-11 - Water Supply & Sewerage Board,DIST-0238,ST-06,Water Supply & Sewerage Board
AGENCY-1210,KER-District-09 - Public Works Department (PWD),DIST-0477,ST-13,Panchayati Raj Institution (PRI)
AGENCY-1211,RAJ-District-35 - Municipal Corporation (MC),DIST-0300,ST-07,Water Supply & Sewerage Board
AGENCY-1212,MAD-District-27 - Panchayati Raj Institution (PRI),DIST-0199,ST-05,Rural Development Department (RDD)
AGENCY-1213,BIH-District-20 - Rural Development Department (RDD),DIST-0131,ST-03,Municipal Corporation (MC)
AGENCY-1214,RAJ-District-07 - Municipal Corporation (MC),DIST-0272,ST-07,Municipal Corporation (MC)
AGENCY-1215,MAD-District-53 - Water Supply & Sewerage Board,DIST-0225,ST-05,Public Works Department (PWD)
AGENCY-1216,PUN-District-15 - Public Works Department (PWD),DIST-0556,ST-16,Rural Development Department (RDD)
AGENCY-1217,ASS-District-05 - Municipal Corporation (MC),DIST-0511,ST-15,Rural Development Department (RDD)
AGENCY-1218,PUN-District-08 - Public Works Department (PWD),DIST-0549,ST-16,Municipal Corporation (MC)
AGENCY-1219,KAR-District-06 - Rural Development Department (RDD),DIST-0321,ST-08,Water Supply & Sewerage Board
AGENCY-1220,KER-District-06 - Public Works Department (PWD),DIST-0474,ST-13,Public Works Department (PWD)
AGENCY-1221,UTT-District-35 - Panchayati Raj Institution (PRI),DIST-0035,ST-01,Panchayati Raj Institution (PRI)
AGENCY-1222,TEL-District-14 - Municipal Corporation (MC),DIST-0449,ST-12,Public Works Department (PWD)
AGENCY-1223,RAJ-District-30 - Municipal Corporation (MC),DIST-0295,ST-07,Water Supply & Sewerage Board
AGENCY-1224,MAD-District-09 - Public Works Department (PWD),DIST-0181,ST-05,Public Works Department (PWD)
AGENCY-1225,MAD-District-39 - Panchayati Raj Institution (PRI),DIST-0211,ST-05,Rural Development Department (RDD)
AGENCY-1226,UTT-District-57 - Rural Development Department (RDD),DIST-0057,ST-01,Rural Development Department (RDD)
AGENCY-1227,RAJ-District-37 - Public Works Department (PWD),DIST-0302,ST-07,Municipal Corporation (MC)
AGENCY-1228,TAM-District-32 - Rural Development Department (RDD),DIST-0259,ST-06,Water Supply & Sewerage Board
